TERYT,Województwo,Powiat,Gmina,OGÓŁEM Liczba zdarzeń,RAZEM 1. Obiekty użyteczności publicznej,"101. Administracyjno-biurowe, banki","102. Oświaty i nauki, w szczególności budynki dydaktyczne, szkoły, przedszkola","103. Służby zdrowia, w szczególności szpitale, sanatoria, domy opieki społecznej, przychodnie, żłobki","104. Handlowo-usługowe, w szczególności sklepy, domy towarowe, lokale gastronomiczne, hurtownie, zakłady usługowe","105. Obsługi pasażerów w komunikacji, w szczególności dworce kolejowe i autobusowe, porty rzeczne i morskie, dworce lotnicze",106. Widowiskowo-rozrywkowe i sportowe,"107. Kultu religijnego, sakralne","108. Muzea, skanseny, wystawy, galerie","109. Biblioteki, archiwa","110. Zakłady odosobnienia, w szczególności zakłady karne, areszty śledcze, domy poprawcze",111. Inne obiekty użyteczności publicznej,RAZEM 2. Obiekty mieszkalne,"201. Hotele, noclegownie",202. Domy dziecka,"203. Internaty, domy studenckie",204. Koszary,205. Domy emerytów,"206. Domy wczasowe, pensjonaty",207. Schroniska,"208. Jednorodzinne, w tym bliźniaki, zabudowa szeregowa",209. Wielorodzinne,210. Budynki mieszkalne w gospodarstwach rolnych,"211. Inne obiekty mieszkalne, w szczególności altanki, barakowozy, domki letniskowe",RAZEM 3. Obiekty produkcyjne,301. Budynki produkcyjne,"302. Budynki gospodarcze (w tym wiaty, bez garaży)","303. Pomieszczenia socjalne, w szczególności szatnie, stołówki",304. Instalacje technologiczne poza budynkami,305. Maszyny i urządzenia technologiczne,306. Pomieszczenia administracyjne,"307. Rurociągi, instalacje przesyłowe między obiektami na terenie zakładu oraz tranzytowe poza terenem zakładu",RAZEM 4. Obiekty magazynowe,"401. Magazyny, wiaty na terenie zakładów produkcyjnych","402. Magazyny, hurtownie, wiaty wolno stojące (bez obiektów wymienionych w punktach 104 i 401)","403. Magazyny, hurtownie w obiektach przeznaczonych na pobyt ludzi kwalifikowanych jako ZL",404. Place budowy i zaplecza budowy,"405. Place składowe, w tym także hałdy",406. Zbiorniki składowe stałe,407. Stacje paliw płynnych i gazu płynnego,408. Bazy paliw płynnych i gazu płynnego,RAZEM 5. Środki transportu,"501. Drogowe - motocykle, jednoślady","502. Drogowe - autobusy, trolejbusy","503. Drogowe - samochody ciężarowe, maszyny drogowe, cysterny, przyczepy do samochodów ciężarowych","504. Drogowe - samochody osobowe, przyczepy samochodów osobowych","505. Kolejowe - ruchu pasażerskiego, np. wagony pasażerskie, typu pasażerskiego, socjalne","506. Kolejowe - ruchu towarowego, np. wagony towarowe, cysterny","507. Lotnicze - ruchu pasażerskiego, np. samoloty pasażerskie",508. Lotnicze - ruchu towarowego np. samoloty przystosowane tylko do przewozu towarów,"509. Lotnicze - samoloty turystyczne, rolnicze, sportowe, sanitarne w tym śmigłowce, szybowce, lotnie",510. Morskie - statki transportowe,"511. Morskie - statki pasażerskie, promy","512. Morskie - inne obiekty pływające, w tym jachty, łodzie rybackie, kutry","513. Śródlądowe - statki transportowe, pchacze, barki","514. Śródlądowe - statki pasażerskie, promy","515. Śródlądowe - obiekty pływające, w tym jachty, żaglówki, łodzie",516. Szynowe środki komunikacji miejskiej,517. Pojazdy trakcyjne i kolejowe pojazdy specjalne,518. Szynowe pojazdy metra,RAZEM 6. Lasy (państwowe i prywatne),601. Uprawy leśne,602. Młodniki,603. Drzewostany II klasy wieku,604. Drzewostany III i powyżej klasy wieku,605. Inne powierzchnie w obszarach leśnych,"606. Powierzchnie zalesione na obszarach nieleśnych np. parki, lasy miejskie","RAZEM 7. Uprawy, rolnictwo",701. Nieużytkowane powierzchnie rolnicze,"702. Uprawy rolne oraz łąki, rżyska i pożary powstałe podczas zbiorów tych upraw","703. Maszyny rolnicze, traktory, inne środki transportu związane z rolnictwem","704. Sterty, stogi, brogi",705. Budynki i instalacje przerobu produktów rolnych,"706. Budynki inwentarskie, hodowlane, magazynowe (stodoły), szklarnie","707. Budynki gospodarcze (szopy, komórki, wiaty, kotłownie - bez garaży)",RAZEM 8. Inne obiekty,"801. Śmietniki wolnostojące, wysypiska śmieci","802. Zsypy pomieszczenia zsypowe, smietniki wewnątrz budynków","803. Kanały wentylacyjne, dymowe, dylatacje, palne elewacje lub okładziny ścian zewnętrznych","804. Garaże, warsztaty samochodowe poza budynkami, w tym kompleksy garażowe","805. Garaże, warsztaty samochodowe wewnątrz budynków mieszkalnych","806. Garaże, warsztaty samochodowe wewnątrz pozostałych budynków lub ich części, zaliczonych do kategorii zagrożenia ludzi (ZL)","807. Garaże, warsztaty samochodowe wewnątrz budynków magazynowych i produkcyjnych",808. Zabytki kultury materialnej nie będące budynkami,"809. Obiekty lub grupa obiektów przyrody naturalnej np. pojedyńcze drzewa, minerały, jaskinie, inne",810. Obiekty hydrotechniczne,"811. Rozlewiska, wycieki, zanieczyszczenia powstałe na zbiornikach, ciekach i akwenach wodnych","812. Inne zdarzenia powstałe na zbiornikach, ciekach i akwenach wodnych",813. Obiekty wojskowe,"814. Obiekty użytkowane przez konsulaty, ambasady (eksterytorialne)","815. Pobocza dróg i szlaków komunikacyjnych (ale bez zdarzeń z udziałem środków transportu, bez pożarów traw na poboczach)","816. Płyty manewrowe i pasy lotnisk, szlaki kolejowe i manewrowe, drogi i ulice (ale bez zdarzeń z udziałem środków transportu, bez pożarów traw)","817. Trawy, trawniki na terenach nierolniczych, poboczach dróg i szlaków, ulic","818. Zdarzenia występujące na dużych obszarach mieszkalnych lub gospodarczych, na terenach gmin, miast i osiedli (np. poszuk. ludzi i zwierząt na terenach wiejskich, miejskich, lasów, udział w ewak. z tych obsz., pomoc w dział. innych służb obejm. te obsz.)","819. Inne nietypowe obiekty, budynki, instalacje",RAZEM Wybuchy w czasie działań,Gazów par i cieczy,Pyłów substancji chemicznych stałych,Materiałów wybuchowych
20101,dolnośląskie,bolesławiecki,Bolesławiec,79,2,0,0,0,1,0,1,0,0,0,0,0,22,1,0,0,0,0,0,0,7,13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,44,10,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,13,0,16,1,1,0,0
20102,dolnośląskie,bolesławiecki,Bolesławiec,75,1,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,0,0,15,1,12,3,6,0,1,1,0,1,20,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,6,0,0,0,0
20103,dolnośląskie,bolesławiecki,Gromadka,66,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,1,0,12,1,7,3,2,0,0,0,0,2,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0
20104,dolnośląskie,bolesławiecki,Nowogrodziec,155,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,20,5,0,0,3,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,6,5,22,16,1,0,3,0,0,2,76,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,43,0,30,0,0,0,0
20105,dolnośląskie,bolesławiecki,Osiecznica,41,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,3,3,3,1,0,0,0,0,0,2,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,5,0,0,0,0
20106,dolnośląskie,bolesławiecki,Warta Bolesławiecka,52,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,11,6,2,0,0,1,1,1,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,12,0,0,0,0
20201,dolnośląskie,dzierżoniowski,Bielawa,74,1,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,21,0,5,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,4,0,0,1,0,2,1,30,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,8,0,0,0,0
20202,dolnośląskie,dzierżoniowski,Dzierżoniów,83,2,0,0,0,1,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,4,10,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,21,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,13,0,14,0,0,0,0
20203,dolnośląskie,dzierżoniowski,Pieszyce,26,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,5,2,1,0,1,0,0,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
20204,dolnośląskie,dzierżoniowski,Piława Górna,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
20205,dolnośląskie,dzierżoniowski,Dzierżoniów,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,5,2,1,0,0,0,0,2,15,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,2,0,0,0,0
20206,dolnośląskie,dzierżoniowski,Łagiewniki,58,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,10,7,1,0,0,0,1,1,22,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,0,10,0,0,0,0
