"Kod","Nazwa","ludność na 1 km2,2024,[osoba]","gęstość zaludnienia powierzchni zabudowanej i zurbanizowanej (osoby/km2),2024,[osoba]","zmiana liczby ludności na 1000 mieszkańców,2024,[osoba]","ludność w tysiącach,2024,[tys. osób]","ludność w tysiącach mężczyźni,2024,[tys. osób]","ludność w tysiącach kobiety,2024,[tys. osób]","wskaźnik urbanizacji,2024,[%]",
0000000,"POLSKA",119.4,2021,-3.9,37489.09,18107.03,19382.06,59.4,
0200000,"DOLNOŚLĄSKIE",143.8,1884,-3.8,2868.24,1377.85,1490.39,67.1,
0201000,"Powiat bolesławiecki",66.9,,-4.4,87.26,42.24,45.01,46.8,
0201011,"Bolesławiec (1)",1610.3,,-7.0,36.80,17.08,19.71,100.0,
0201022,"Bolesławiec (2)",53.1,,6.0,15.36,7.67,7.69,0.0,
0201032,"Gromadka (2)",18.6,,-5.0,4.98,2.50,2.48,0.0,
0201043,"Nowogrodziec (3)",82.2,,-6.8,14.52,7.23,7.29,27.9,
0201044,"Nowogrodziec - miasto (4)",251.6,,-12.7,4.05,1.99,2.06,100.0,
0201045,"Nowogrodziec - obszar wiejski (5)",65.2,,-4.5,10.47,5.24,5.23,0.0,
0201052,"Osiecznica (2)",16.5,,-11.8,7.20,3.62,3.58,0.0,
0201062,"Warta Bolesławiecka (2)",76.0,,-1.1,8.40,4.15,4.26,0.0,
0202000,"Powiat dzierżoniowski",196.2,,-9.3,93.86,44.50,49.37,78.1,
0202011,"Bielawa (1)",765.3,,-11.2,27.71,12.91,14.81,100.0,
0202021,"Dzierżoniów (1)",1510.3,,-9.9,30.31,14.10,16.21,100.0,
0202033,"Pieszyce (3)",139.5,,-3.1,8.88,4.29,4.59,76.0,
0202034,"Pieszyce - miasto (4)",380.9,,-2.2,6.75,3.20,3.55,100.0,
0202035,"Pieszyce - obszar wiejski (5)",46.3,,-6.1,2.13,1.09,1.04,0.0,
0202041,"Piława Górna (1)",279.4,,-9.7,5.85,2.81,3.04,100.0,
0202052,"Dzierżoniów (2)",64.6,,-4.7,9.11,4.51,4.60,0.0,
0202062,"Łagiewniki (2)",56.4,,-11.9,7.03,3.45,3.58,0.0,
0202073,"Niemcza (3)",69.2,,-9.6,4.97,2.42,2.55,53.3,
0202074,"Niemcza - miasto (4)",133.8,,-12.3,2.65,1.30,1.35,100.0,
0202075,"Niemcza - obszar wiejski (5)",44.6,,-6.4,2.32,1.12,1.20,0.0,
0203000,"Powiat głogowski",190.4,,-7.7,84.39,40.82,43.56,72.5,
0203011,"Głogów (1)",1742.8,,-13.6,61.21,29.22,31.99,100.0,
0203022,"Głogów (2)",85.6,,7.4,7.26,3.63,3.64,0.0,
0203032,"Jerzmanowa (2)",94.5,,17.7,5.98,2.98,3.00,0.0,
0203042,"Kotla (2)",34.6,,0.7,4.41,2.20,2.21,0.0,
0203052,"Pęcław (2)",33.1,,11.4,2.13,1.08,1.05,0.0,
0203062,"Żukowice (2)",49.8,,0.9,3.40,1.72,1.68,0.0,
0204000,"Powiat górowski",43.4,,-12.5,32.05,15.86,16.19,41.0,
0204013,"Góra (3)",68.8,,-8.9,18.29,8.99,9.30,58.1,
0204014,"Góra - miasto (4)",778.2,,-7.2,10.62,5.07,5.56,100.0,
0204015,"Góra - obszar wiejski (5)",30.4,,-11.2,7.67,3.92,3.75,0.0,
0204022,"Jemielno (2)",21.3,,-30.5,2.64,1.33,1.31,0.0,
0204032,"Niechlów (2)",29.5,,-13.1,4.45,2.24,2.21,0.0,
0204043,"Wąsosz (3)",33.8,,-14.6,6.67,3.30,3.37,37.6,
0204044,"Wąsosz - miasto (4)",772.3,,-16.1,2.51,1.21,1.30,100.0,
0204045,"Wąsosz - obszar wiejski (5)",21.5,,-13.8,4.16,2.09,2.07,0.0,
0205000,"Powiat jaworski",80.6,,-8.3,46.82,22.91,23.91,53.2,
0205011,"Jawor (1)",1079.7,,-10.0,20.30,9.71,10.59,100.0,
0205023,"Bolków (3)",62.3,,-9.4,9.50,4.66,4.84,48.4,
0205024,"Bolków - miasto (4)",598.3,,-6.7,4.60,2.19,2.42,100.0,
0205025,"Bolków - obszar wiejski (5)",33.8,,-11.9,4.90,2.47,2.42,0.0,
0205032,"Męcinka (2)",35.3,,0.6,5.22,2.59,2.63,0.0,
0205042,"Mściwojów (2)",54.9,,-9.6,3.94,1.99,1.95,0.0,
0205052,"Paszowice (2)",41.3,,-4.3,4.18,2.10,2.08,0.0,
0205062,"Wądroże Wielkie (2)",41.3,,-11.6,3.68,1.86,1.82,0.0,
0206000,"Powiat karkonoski",95.5,,-9.5,59.86,28.85,31.01,41.6,
0206011,"Karpacz (1)",109.0,,-16.2,4.14,1.91,2.23,100.0,
0206021,"Kowary (1)",254.6,,-23.1,9.52,4.49,5.03,100.0,
0206031,"Piechowice (1)",131.3,,-13.1,5.67,2.72,2.95,100.0,
0206041,"Szklarska Poręba (1)",74.1,,-32.6,5.59,2.64,2.95,100.0,
0206052,"Janowice Wielkie (2)",69.9,,0.3,4.05,2.03,2.02,0.0,
0206062,"Jeżów Sudecki (2)",84.9,,13.2,8.00,3.89,4.11,0.0,
0206072,"Mysłakowice (2)",108.5,,-9.9,9.55,4.67,4.88,0.0,
0206082,"Podgórzyn (2)",98.3,,-0.5,8.11,3.95,4.16,0.0,
0206092,"Stara Kamienica (2)",47.4,,-4.6,5.24,2.55,2.69,0.0,
0207000,"Powiat kamiennogórski",100.8,,-11.0,39.88,19.40,20.48,55.9,
0207011,"Kamienna Góra (1)",933.4,,-15.9,16.84,8.01,8.82,100.0,
0207022,"Kamienna Góra (2)",55.8,,-2.5,8.82,4.39,4.43,0.0,
0207033,"Lubawka (3)",72.5,,-13.7,10.00,4.88,5.12,54.7,
0207034,"Lubawka - miasto (4)",243.7,,-12.1,5.47,2.60,2.87,100.0,
0207035,"Lubawka - obszar wiejski (5)",39.2,,-15.6,4.54,2.28,2.25,0.0,
0207042,"Marciszów (2)",51.7,,-2.6,4.22,2.11,2.10,0.0,
0208000,"Powiat kłodzki",88.4,,-11.6,145.24,69.81,75.44,62.9,
0208011,"Duszniki-Zdrój (1)",175.4,,-23.5,3.91,1.82,2.09,100.0,
0208021,"Kłodzko (1)",986.4,,-12.4,24.50,11.44,13.06,100.0,
0208031,"Kudowa-Zdrój (1)",269.8,,-14.6,9.15,4.33,4.82,100.0,
0208041,"Nowa Ruda (1)",542.5,,-15.7,20.10,9.63,10.47,100.0,
0208051,"Polanica-Zdrój (1)",336.8,,-23.1,5.80,2.61,3.19,100.0,
0208063,"Bystrzyca Kłodzka (3)",50.4,,-7.7,17.07,8.26,8.81,51.6,
0208064,"Bystrzyca Kłodzka - miasto (4)",819.6,,-15.3,8.80,4.07,4.73,100.0,
0208065,"Bystrzyca Kłodzka - obszar wiejski (5)",25.2,,0.5,8.27,4.19,4.08,0.0,
0208072,"Kłodzko (2)",64.6,,-6.7,16.37,8.04,8.33,0.0,
0208083,"Lądek-Zdrój (3)",62.9,,-11.9,7.38,3.57,3.81,65.9,
0208084,"Lądek-Zdrój - miasto (4)",239.3,,-17.0,4.86,2.29,2.57,100.0,
