"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
394/23,"AMKA  Spółka z ograniczoną odpowiedzialnością",02-972,Warszawa,"Aleja Rzeczypospolitej 18/83","WOJ. MAZOWIECKIE",2025-02-28
404/23,"WORMAR K Spółka z ograniczoną odpowiedzialnością",83-300,Kartuzy,"ul. Zamkowa 23","WOJ. POMORSKIE",2025-03-03
407/23,"RAFAŁ DZILIŃSKI",06-400,Ciechanów,"ul. Leśna 52 ","WOJ. MAZOWIECKIE",2025-02-21
5/W/24,"ALKOSWIAT Spółka z ograniczoną odpowiedzialnością",43-300,Bielsko-Biała,"ul. Wincentego Witosa 170","WOJ. ŚLĄSKIE",2025-03-30
6/W/24,"Matyl Fenikost Aleksadra Matyl-Stawowy",34-212,Bieńkówka,"Bienkówka 454","WOJ. MAŁOPOLSKIE",2025-04-20
8/24,"""AUCHAN POLSKA""  Spółka z ograniczoną odpowiedzialnością",05-500,Piaseczno,"ul. Puławska 46 ","WOJ. MAZOWIECKIE",2025-02-12
15/24,"Manufaktura Nalewek  Spółka z ograniczoną odpowiedzialnością",38-400,Krosno,"ul. Pużaka 49 ","WOJ. PODKARPACKIE",2025-03-04
18/24,"CERVILLE INVESTMENTS  Spółka z ograniczoną odpowiedzialnością",02-705,Warszawa,"ul. Czerniowiecka 2B ","WOJ. MAZOWIECKIE",2025-02-14
19/24,"""PHU WYSOKIŃSKI""  Spółka z ograniczoną odpowiedzialnością",02-972,Warszawa,"ul. Adama Branickiego 9/90","WOJ. MAZOWIECKIE",2025-02-14
20/24,"FILABORA  FB  KOŁPA  & KOŁPA SPÓŁKA  KOMANDYTOWA",33-140,"Lisia Góra","ul. Tarnowska 7","WOJ. MAŁOPOLSKIE",2025-02-28
23/24,"Manufaktura Maurera Spółka z ograniczoną odpowiedzialnością",33-390,Łącko,"Zarzecze 1B ","WOJ. MAŁOPOLSKIE",2025-02-13
24/24,"Wanda Łęgosz P.H.U. RUDMAR",46-325,Rudniki,"ul. Biegańskiego 7 ","WOJ. OPOLSKIE",2025-02-16
27/24,"ANPAH BIS Paweł Janiak",62-800,Kalisz,"ul. Piwonicka 1 C","WOJ. WIELKOPOLSKIE",2025-02-14
28/24,"""NALEWKI STAROPOLSKIE   KAROL  MAJEWSKI  I WSPÓLNICY""  Spółka z ograniczoną odpowiedzialnością",05-092,Łomianki,"ul. Wiosenna 60 ","WOJ. MAZOWIECKIE",2025-02-07
31/24,"ALCORA Spółka z ograniczoną odpowiedzialnością",02-237,Warszawa,"ul. Instalatorów 23","WOJ. MAZOWIECKIE",2025-03-03
34/24,"""ROLMEX"" Spółka Akcyjna",02-604,Warszawa,"ul. Olkuska 7 ","WOJ. MAZOWIECKIE",2025-03-01
35/24,"Winnica Libiąż Spółka z ograniczoną odpowiedzialnością",02-699,Warszawa,"ul. Kłobucka 23D/118","WOJ. MAZOWIECKIE",2025-02-09
36/24,"Firma Handlowa ""GAJEWCZYK BIS""  Wiktor Gajewczyk",98-220,"Zduńska Wola","ul. Żytnia 14 B ","WOJ. ŁÓDZKIE",2025-02-28
37/24,"Retail & Food Services Polska  Spółka z ograniczoną odpowiedzialnością",81-339,Gdynia,"ul. Polska 4","WOJ. POMORSKIE",2025-02-14
38/24,"""BACARDI-MARTINI  POLSKA""  Spółka z ograniczoną odpowiedzialnością",02-675,Warszawa,"ul. Wołoska 22 ","WOJ. MAZOWIECKIE",2025-03-26
40/24,"SSG POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",05-552,Łazy,"Aleja Krakowska  225","WOJ. MAZOWIECKIE",2025-02-05
41/24,"""BORT-WIMAR""  Spółka Jawna",49-200,Grodków,"ul. Sienkiewicza 104","WOJ. OPOLSKIE",2025-02-19
42/24,"MAROL  Spółka z ograniczoną odpowiedzialnością",61-249,Poznań,"ul. Stanisława Zwierzchowskiego 25","WOJ. WIELKOPOLSKIE",2025-04-10
43/24,"FERIER Spółka z ograniczoną odpowiedzialnością",02-822,Warszawa,"ul. Poleczki 23","WOJ. MAZOWIECKIE",2025-02-14
44/24,"REFLEX  Spółka z ograniczoną odpowiedzialnością",43-502,Czechowice-Dziedzice,"ul. Władysława Stanisława Reymonta 18","WOJ. ŚLĄSKIE",2025-02-19
45/24,"KUCHNIE ŚWIATA Spółka Akcyjna",01-708,Warszawa,"ul. Słodowiec 10/10","WOJ. MAZOWIECKIE",2025-02-12
46/24,"BLUMAK  Maciej Uchański",50-452,Wrocław,"ul. Komuny Paryskiej 72","WOJ. DOLNOŚLĄSKIE",2025-03-01
47/24,"PRZEDSIĘBIORSTWO SAVPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA",44-100,Gliwice,"Sowińskiego 7","WOJ. ŚLĄSKIE",2025-02-28
48/24,"Nalewki Gniewski Dwór Robert Galiński",82-500,Kwidzyn,"Gniewskie Pole 24","WOJ. POMORSKIE",2025-02-14
49/24,"BARTEX BARTOL Spółka z ograniczoną odpowiedzialnością",64-300,"Nowy  Tomyśl","Paproć  111 ","WOJ. WIELKOPOLSKIE",2025-04-01
50/24,"DISTRIBEV   Spółka z ograniczoną odpowiedzialnością",00-728,Warszawa,"ul. Józefa Piusa Dziekońskiego 3","WOJ. MAZOWIECKIE",2025-02-28
51/24,"ORZEŁEK Spółka z ograniczoną odpowiedzialnością",35-312,Rzeszów,"ul. bp. Józefa Sebastiana Pelczara 6C/8","WOJ. PODKARPACKIE",2025-02-14
53/24,"Alko-Trade Krzysztof Lisiecki",77-100,Bytów,"ul. Lęborska 18","WOJ. POMORSKIE",2025-02-28
54/24,"HJK CC Spółka z ograniczoną odpowiedzialnością",04-058,Warszawa,"ul. Spalinowa 5","WOJ. MAZOWIECKIE",2025-02-09
55/24,"MEDIPHARM INTERNATIONAL Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",64-316,Kuślin,"ul. Emilii Sczanieckiej 20B","WOJ. WIELKOPOLSKIE",2025-02-07
56/24,"PRAVDA Spółka  z ograniczoną odpowiedzialnością",43-300,"Bielsko - Biała","ul. Międzyrzecka 152 ","WOJ. ŚLĄSKIE",2025-02-28
57/24,"""KAMIX""  Spółka z ograniczoną odpowiedzialnością",02-238,Warszawa,"ul. Modularna 12 lok. 400","WOJ. MAZOWIECKIE",2025-02-28
58/24,"AGA II Agata Modrzejewska Spółka Jawna",00-773,Warszawa,"ul. Dolna 7","WOJ. MAZOWIECKIE",2025-02-07
59/24,"Przedsiębiorstwo Handlowo-Usługowe ""TOPAZ"" Spółka z ograniczoną odpowiedzialnością (dawniej: Paczóski Zbigniew Przedsiębiorstwo Handlowo-Uslugowe ""Topaz"")",08-300,"Sokołów Podlaski","ul. Kolejowa 3 B","WOJ. MAZOWIECKIE",2025-03-16
61/24,"""JAKO""   Spółka z ograniczoną odpowiedzialnością",62-817,Żelazków,"Kokanin  44 ","WOJ. WIELKOPOLSKIE",2025-02-28
62/24,"GM KRAFT Spółka z ograniczoną odpowiedzialnością",30-519,Kraków,"ul. Jana Zamoyskiego 81","WOJ. MAŁOPOLSKIE",2025-02-23
